First Name,Last Name,Gender,Age,Phone,Education,Occupation,Marital Status,Number of Children,Address,Caste,YojanaCardBenefits,YojanaCardBenefitsBankAccountLinked,YojanaCardBenefitsUniqueQRCode,YojanaCardBenefitsBookServiceWithHaqdarshaks,YojanaCardBenefitsSchemeApplicationSupport,YojanaCardBenefitsDigiLockerAccount,YojanaCardBenefitsOffersCashbacks,YojanaCardInterestedInYojanaCardStatus,YojanaCardFeatureBenefitInformation,YojanaCardFeatureBenefitSubsidySchemeInfo,YojanaCardFeatureBenefitAccessToBankingServices,YojanaCardFeatureBenefitYojanaKendra,YojanaCardFeatureBenefitHQHelpline,YojanaCardFeatureBenefitAssistedHQService,YojanaCardFeatureBenefitDigilocker,YojanaCardFeatureBenefitCashbackOffers,YojanaCardFeatureBenefitBankAccountInfo,YojanaCardFeatureBenefitOtherStatus,YojanaCardLoanInterestStatus,YojanaCardInsurance,YojanaCardUnmetNeedsHealthExpenses,YojanaCardUnmetNeedsChildrensEducation,YojanaCardUnmetNeedsMarriageSupport,YojanaCardUnmetNeedsBusinessSupport,YojanaCardUnmetNeedsNone,YojanaCardUnmetNeedsOther,YojanaCardInterestInPayingForYojanaCard,YojanaCardPriceComfortableToAvailYojanaCard,YojanaCardAcceptanceOfFreeYojanaCard
Adrian,Crawford,Male,23,899-1715-81,Primary,Mechanic,Single,3,Bangalore,General,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0
Alberta,Stevens,Female,20,366-9318-26,Post graduation,Production Engineer,Single,3,Chennai,Prefer Not to say,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1
Oscar,Anderson,Male,24,362-7044-82,Illiterate,Plumber,Single,5,Delhi,General,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0
Adam,Cameron,Male,28,523-4064-34,Graduation,Production Engineer,Single,5,Mumbai,Prefer Not to say,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Ellia,Higgins,Female,22,031-2122-11,Secondary,Production Engineer,Married,3,Kochi,OBC,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
Wilson,Russell,Male,28,703-8669-51,Illiterate,Mechanic,Married,0,Chennai,General,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
Victor,Clark,Male,18,692-2238-53,Senior Secondary,Teaching faculty,Married,0,Hyderabad,Prefer Not to say,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1
James,Johnston,Male,29,990-8494-31,Primary,Business,Single,3,Mumbai,ST,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1
Sarah,Williams,Female,18,995-8524-43,Post graduation,Business,Single,5,Delhi,Prefer Not to say,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0
Jordan,Chapman,Male,20,024-1428-26,Senior Secondary,Plumber,Single,0,Raipur,OBC,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1
Derek,Moore,Male,29,620-8521-04,Secondary,Clerk,Single,0,Patna,General,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Chester,Higgins,Male,21,933-5830-79,Illiterate,Production Engineer,Married,1,Chennai,Prefer Not to say,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0
Freddie,Thomas,Male,22,491-7009-78,Secondary,Doctor,Single,2,Lucknow,Prefer Not to say,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0
Vincent,Moore,Male,27,581-5772-42,Secondary,Plumber,Single,5,Hyderabad,General,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1
Grace,Richardson,Female,30,394-0793-17,Secondary,Data Analyst,Single,2,Kochi,General,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
Myra,Bailey,Female,19,814-4887-44,Illiterate,Software Developer,Single,2,Chennai,NT/DNT,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
Carlos,Gray,Male,20,979-7987-10,Post graduation,Pharmacist,Married,2,Hyderabad,NT/DNT,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1
Audrey,Thompson,Female,20,619-4194-53,Senior Secondary,Software Developer,Single,0,Hyderabad,NT/DNT,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1
Fiona,Ross,Female,28,594-3622-53,Secondary,Clerk,Married,5,Kolkata,SC,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1
Annabella,Stevens,Female,27,740-2403-57,Illiterate,Police,Single,0,Chennai,SC,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
Henry,Adams,Male,21,021-9120-63,Post graduation,Pharmacist,Single,3,Raipur,ST,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0
Tyler,Russell,Male,20,070-3408-57,Primary,Civil Engineer,Single,2,Kolkata,NT/DNT,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1
Darcy,Davis,Female,23,466-4754-90,Primary,Business,Single,0,Delhi,OBC,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1
Daniel,Kelley,Male,18,831-0216-29,Senior Secondary,Data Analyst,Single,1,Kochi,Prefer Not to say,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1
Maya,Johnston,Female,29,491-7885-60,Secondary,Plumber,Married,4,Mumbai,ST,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
Garry,Baker,Male,20,131-4224-08,Illiterate,Clerk,Single,5,Hyderabad,Prefer Not to say,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
Tara,Morgan,Female,27,706-6127-33,Secondary,Mechanic,Married,2,Raipur,General,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0
Arnold,Roberts,Male,18,879-5291-47,Senior Secondary,Data Analyst,Single,3,Chennai,General,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0
Lucia,Richards,Female,21,332-4490-68,Primary,Production Engineer,Single,0,Kolkata,NT/DNT,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1
